passID,timestamp,stationRef,vehicleRef,charge,stationID,vehicleID,providerAbbr
IWZ6784211,4/1/2019 2:51,AO05,DV04FQL29609,3.1,AO05,DV04FQL29609,AO
DOT0840926,4/1/2019 3:48,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO
YIC2205567,4/1/2019 4:43,OO05,AT19HLV57173,2.8,OO05,AT19HLV57173,OO
JYG0256462,4/1/2019 6:18,AO17,OC94ASJ72024,1.0,AO17,OC94ASJ72024,AO
FZS8692226,4/1/2019 8:01,KO05,ED51EWW52190,1.0,KO05,ED51EWW52190,KO
ZIK8298699,4/1/2019 8:11,OO06,UA13YTK28483,2.5,OO06,UA13YTK28483,MR
GBM5773955,4/1/2019 8:41,OO01,AT19HLV57173,2.8,OO01,AT19HLV57173,OO
PLP9237083,4/1/2019 8:43,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO
PSV9420885,4/1/2019 8:56,NE15,BI87HYL81972,2.2,NE15,BI87HYL81972,MR
OQE5431179,4/1/2019 9:27,KO06,KB55KTM48860,2.5,KO06,KB55KTM48860,KO
FRP9290882,4/1/2019 9:32,AO15,BZ76ROL87339,1.0,AO15,BZ76ROL87339,AO
VIG3313800,4/1/2019 15:15,KO06,IX01MVL33676,2.5,KO06,IX01MVL33676,KO
BMV9911239,4/1/2019 15:27,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF
BWS1548433,4/1/2019 16:03,EG07,TV81MAQ99005,2.8,EG07,TV81MAQ99005,EG
DPC4921911,4/1/2019 16:38,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR
FAD4262737,4/1/2019 16:52,AO08,DV04FQL29609,3.1,AO08,DV04FQL29609,AO
BOS5722123,4/1/2019 17:39,MR05,QO68DIC93032,2.5,MR05,QO68DIC93032,MR
BIP4596977,4/1/2019 17:45,MR00,HE38BQH01623,2.8,MR00,HE38BQH01623,MR
IZU3260044,4/1/2019 18:05,MR03,HR53SRO94328,13.0,MR03,HR53SRO94328,MR
IOI0658573,4/1/2019 19:07,OO02,PD45WOT56494,2.0,OO02,PD45WOT56494,NE
ELI0385232,4/1/2019 21:05,MR08,HE38BQH01623,2.8,MR08,HE38BQH01623,MR
SCB3162252,4/1/2019 21:05,OO05,VJ92OYV94295,2.5,OO05,VJ92OYV94295,OO
XRB7777819,4/1/2019 21:25,KO08,AY38OQF67603,1.5,KO08,AY38OQF67603,OO
VNX6112928,4/1/2019 21:30,OO02,XV40HUQ04740,1.0,OO02,XV40HUQ04740,OO
JBK7975831,4/1/2019 22:14,OO01,XV40HUQ04740,1.0,OO01,XV40HUQ04740,OO
UZV6669660,4/1/2019 22:41,NE14,FY47TUN40300,1.0,NE14,FY47TUN40300,NE
AST1565987,4/1/2019 23:41,NE00,QU94IGC75528,2.8,NE00,QU94IGC75528,EG
EPU9167801,5/1/2019 2:09,MR05,QN23UHH39091,2.8,MR05,QN23UHH39091,MR
UME6300154,5/1/2019 3:12,NE14,OY94SZK34436,2.5,NE14,OY94SZK34436,NE
IZL8111210,5/1/2019 3:29,KO05,MQ65WJJ60020,1.25,KO05,MQ65WJJ60020,KO
TYT3955033,5/1/2019 3:58,AO08,VL67TFO75321,2.8,AO08,VL67TFO75321,EG
WHI1664349,5/1/2019 5:13,NE13,QP02SYE47964,2.8,NE13,QP02SYE47964,NE
XSE8654212,5/1/2019 6:11,NE15,JV67MTI17124,2.5,NE15,JV67MTI17124,NE
TXL5895242,5/1/2019 6:41,KO05,QO77TFN61853,2.2,KO05,QO77TFN61853,KO
LJC9157282,5/1/2019 8:15,KO03,JO50FSF60755,2.2,KO03,JO50FSF60755,KO
HJW5583166,5/1/2019 9:36,MR05,BI87HYL81972,1.0,MR05,BI87HYL81972,MR
OIV5602818,5/1/2019 10:01,MR02,UA13YTK28483,2.8,MR02,UA13YTK28483,MR
DKX6181104,5/1/2019 11:20,NE00,EM54HQI58682,3.1,NE00,EM54HQI58682,OO
TGM8606494,5/1/2019 11:22,EG07,IW53OQE31439,2.8,EG07,IW53OQE31439,EG
UIC7940896,5/1/2019 11:28,EG12,TE24LCO18661,1.25,EG12,TE24LCO18661,EG
PZP9995637,5/1/2019 18:12,MR08,KF48RSD79865,2.8,MR08,KF48RSD79865,MR
HOA0727154,5/1/2019 19:13,MR03,KF48RSD79865,2.8,MR03,KF48RSD79865,MR
KTK8951799,5/1/2019 20:21,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
UWV9537409,5/1/2019 21:22,AO01,DP11ENT03275,3.1,AO01,DP11ENT03275,AO
GYR0258541,5/1/2019 22:43,AO13,RR73DWB65452,2.8,AO13,RR73DWB65452,AO
SDQ5556853,5/1/2019 23:45,NE03,QP02SYE47964,2.8,NE03,QP02SYE47964,NE
UDF1325536,5/1/2019 23:57,OO01,AY38OQF67603,2.8,OO01,AY38OQF67603,OO
NQV7199789,6/1/2019 0:22,EG10,CM15YCB60994,2.0,EG10,CM15YCB60994,EG
INA0533953,6/1/2019 0:50,NE05,VX68BAR38623,1.5,NE05,VX68BAR38623,NE
AZT9656066,6/1/2019 1:25,OO05,JF94VYA88954,2.8,OO05,JF94VYA88954,OO
IUO2143413,6/1/2019 2:49,MR07,RR98KQE80731,1.25,MR07,RR98KQE80731,MR
UXT7394943,6/1/2019 2:58,EG06,EC02LZC49528,2.8,EG06,EC02LZC49528,EG
LJW9984906,6/1/2019 3:17,GF00,MP14WFM40909,2.8,GF00,MP14WFM40909,GF
TPR4294291,6/1/2019 3:35,NE15,EG95RTB75032,2.8,NE15,EG95RTB75032,NE
ULN8974546,6/1/2019 3:48,AO12,HT62RDI04611,2.8,AO12,HT62RDI04611,AO
QZK4342840,6/1/2019 3:55,MR02,QH15HWX24570,3.1,MR02,QH15HWX24570,MR
XWI7097584,6/1/2019 5:33,GF00,YX66XYW62640,3.1,GF00,YX66XYW62640,GF
MXM6404031,6/1/2019 7:06,AO14,YL27IFD65117,2.0,AO14,YL27IFD65117,AO
YJU8743734,6/1/2019 7:31,EG12,EC02LZC49528,2.8,EG12,EC02LZC49528,EG
SUH5952969,6/1/2019 9:34,NE07,QR03XCJ37459,1.5,NE07,QR03XCJ37459,OO
WOJ6728265,6/1/2019 11:37,MR05,RR98KQE80731,1.25,MR05,RR98KQE80731,MR
PAV5608102,6/1/2019 11:37,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE
CFO6913267,6/1/2019 11:39,OO08,LC72NRN52084,1.25,OO08,LC72NRN52084,OO
PAL2525981,6/1/2019 12:12,OO03,IC95TLY24827,2.0,OO03,IC95TLY24827,OO
RCF4544449,6/1/2019 12:43,KO00,WY00MLL63827,1.0,KO00,WY00MLL63827,KO
PVJ3943516,6/1/2019 12:54,AO15,XE59BZM26378,2.8,AO15,XE59BZM26378,EG
IRX8848859,6/1/2019 12:57,AO08,RR73DWB65452,2.8,AO08,RR73DWB65452,AO
MCD5475060,6/1/2019 13:13,KO08,MQ65WJJ60020,1.25,KO08,MQ65WJJ60020,KO
PFW8615887,6/1/2019 14:19,OO09,RK48BOP88344,2.8,OO09,RK48BOP88344,OO
ASW3119652,6/1/2019 15:33,MR06,UA13YTK28483,2.8,MR06,UA13YTK28483,MR
VQA8895237,6/1/2019 15:57,NE16,IA29IQS63679,1.0,NE16,IA29IQS63679,NE
NHL4953806,6/1/2019 16:44,OO13,LG64ARC91224,1.5,OO13,LG64ARC91224,AO
MAK0971449,6/1/2019 16:47,KO07,FY47TUN40300,2.8,KO07,FY47TUN40300,NE
JFR2402578,6/1/2019 17:25,GF00,SL09NOT64494,2.5,GF00,SL09NOT64494,GF
YYP0773445,6/1/2019 18:29,EG00,TZ48CCW54765,3.1,EG00,TZ48CCW54765,EG
LIV9253695,6/1/2019 19:23,OO03,XV40HUQ04740,1.0,OO03,XV40HUQ04740,OO
CCS6814108,6/1/2019 21:36,NE06,NY14GZR94632,2.8,NE06,NY14GZR94632,NE
KOC7962766,6/1/2019 23:08,GF00,MA30QLI76818,2.5,GF00,MA30QLI76818,GF
DOZ1453528,6/1/2019 23:08,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF
PFR7735501,6/1/2019 23:50,NE08,OY94SZK34436,1.0,NE08,OY94SZK34436,NE
RVF1714057,6/1/2019 23:54,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF
QJM2827051,7/1/2019 0:07,KO06,JO50FSF60755,2.2,KO06,JO50FSF60755,KO
HNU5135879,7/1/2019 0:26,MR07,UA13YTK28483,2.8,MR07,UA13YTK28483,MR
NUF0316968,7/1/2019 0:57,GF00,BY85QGR11636,2.5,GF00,BY85QGR11636,GF
MFM7697504,7/1/2019 1:12,OO09,YX66XYW62640,1.0,OO09,YX66XYW62640,GF
RRF5482950,7/1/2019 1:34,KO09,IX01MVL33676,2.5,KO09,IX01MVL33676,KO
RCS4635589,7/1/2019 1:35,MR07,HE38BQH01623,2.8,MR07,HE38BQH01623,MR
LZJ2868612,7/1/2019 2:19,NE12,QP02SYE47964,2.8,NE12,QP02SYE47964,NE
HPB9107400,7/1/2019 2:53,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
KMK0226092,7/1/2019 3:36,OO07,JO50FSF60755,2.0,OO07,JO50FSF60755,KO
NRK5104296,7/1/2019 5:02,MR02,UF84JOS00561,3.1,MR02,UF84JOS00561,GF
RBK8060006,7/1/2019 5:27,AO05,YL27IFD65117,2.0,AO05,YL27IFD65117,AO
AUU6469015,7/1/2019 6:24,AO13,EM54HQI58682,2.8,AO13,EM54HQI58682,OO
IQN6203368,7/1/2019 8:48,EG06,SL09NOT64494,2.2,EG06,SL09NOT64494,GF
VXK5719170,7/1/2019 8:59,EG05,EC02LZC49528,2.8,EG05,EC02LZC49528,EG
QRR8447934,7/1/2019 9:03,MR00,QO68DIC93032,2.5,MR00,QO68DIC93032,MR
NXJ2283523,7/1/2019 10:21,NE02,FY47TUN40300,1.0,NE02,FY47TUN40300,NE
BPA2075644,7/1/2019 11:55,KO07,FL13UMN92207,1.0,KO07,FL13UMN92207,KO
GIQ5227984,7/1/2019 12:10,NE02,AT19HLV57173,2.0,NE02,AT19HLV57173,OO
QMM0347109,7/1/2019 12:11,OO12,BI87HYL81972,2.5,OO12,BI87HYL81972,MR
NBS8149331,7/1/2019 12:23,OO10,QX75YWC61835,2.5,OO10,QX75YWC61835,OO
WXO4856567,7/1/2019 14:15,EG10,EV77EDV52985,1.25,EG10,EV77EDV52985,NE
DSB0448624,7/1/2019 15:22,GF00,UF84JOS00561,2.8,GF00,UF84JOS00561,GF
REY3108814,7/1/2019 15:38,NE16,IA29IQS63679,1.0,NE16,IA29IQS63679,NE
LAO6168976,7/1/2019 15:53,OO05,DP11ENT03275,1.0,OO05,DP11ENT03275,AO
UQR3278904,7/1/2019 16:05,AO13,EV77EDV52985,2.8,AO13,EV77EDV52985,NE
DPZ9842551,7/1/2019 16:28,NE13,EG95RTB75032,2.8,NE13,EG95RTB75032,NE
HCX4122632,7/1/2019 18:13,AO04,PE73VJU23485,2.8,AO04,PE73VJU23485,AO
ARH1581655,7/1/2019 18:27,KO01,WY00MLL63827,1.0,KO01,WY00MLL63827,KO
HTD0281631,7/1/2019 19:53,AO08,RK48BOP88344,2.8,AO08,RK48BOP88344,OO
IWR8131559,7/1/2019 20:03,OO05,RK48BOP88344,2.8,OO05,RK48BOP88344,OO
XQT9913725,7/1/2019 21:39,AO12,LG64ARC91224,13.0,AO12,LG64ARC91224,AO
FDG4220162,7/1/2019 22:40,EG10,CM15YCB60994,2.0,EG10,CM15YCB60994,EG
SYA7107074,7/1/2019 23:04,EG07,CR31GMR97972,1.5,EG07,CR31GMR97972,EG
EGU0149427,7/1/2019 23:39,NE00,OY94SZK34436,2.5,NE00,OY94SZK34436,NE
OXK0045085,7/1/2019 23:40,KO03,KB55KTM48860,2.5,KO03,KB55KTM48860,KO
UTD5120164,8/1/2019 0:24,OO04,AT19HLV57173,2.8,OO04,AT19HLV57173,OO
UBP7692482,8/1/2019 1:47,OO07,TV81MAQ99005,3.1,OO07,TV81MAQ99005,EG
YQF2255735,8/1/2019 1:55,GF00,QN12NTR81378,2.8,GF00,QN12NTR81378,GF
TBW5744223,8/1/2019 3:13,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR
OFS6376591,8/1/2019 3:18,EG02,RK48BOP88344,2.5,EG02,RK48BOP88344,OO
FAE2281094,8/1/2019 5:38,OO04,SY96JDQ97089,2.0,OO04,SY96JDQ97089,AO
IIM9785176,8/1/2019 5:52,NE07,UP28MBM38391,1.0,NE07,UP28MBM38391,NE
PHE1025027,8/1/2019 6:22,MR07,KF48RSD79865,2.8,MR07,KF48RSD79865,MR
INQ8456777,8/1/2019 7:47,AO17,JD78PQD35395,2.8,AO17,JD78PQD35395,EG
DUR6384757,8/1/2019 8:11,AO01,BM25PHF40639,13.0,AO01,BM25PHF40639,AO
OZT5115958,8/1/2019 8:12,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF
LMA8654820,8/1/2019 9:59,AO04,EC02LZC49528,2.8,AO04,EC02LZC49528,EG
XTE9166677,8/1/2019 11:22,NE00,FY47TUN40300,1.0,NE00,FY47TUN40300,NE
PPU9152797,8/1/2019 13:04,AO13,FL13UMN92207,2.8,AO13,FL13UMN92207,KO
BRN7360799,8/1/2019 13:15,NE09,IA29IQS63679,1.0,NE09,IA29IQS63679,NE
OLV1623583,8/1/2019 14:08,OO03,LC72NRN52084,3.1,OO03,LC72NRN52084,OO
XVJ7652867,8/1/2019 14:18,GF00,CP56DAO45598,2.8,GF00,CP56DAO45598,GF
UVE2297410,8/1/2019 15:42,EG02,BI87HYL81972,1.0,EG02,BI87HYL81972,MR
LZP3584479,8/1/2019 15:52,NE13,QR03XCJ37459,1.5,NE13,QR03XCJ37459,OO
COH4374136,8/1/2019 15:53,NE01,PD45WOT56494,2.0,NE01,PD45WOT56494,NE
EZI7123567,8/1/2019 16:14,MR04,LM86GYO69819,2.2,MR04,LM86GYO69819,GF
HSO9832566,8/1/2019 16:25,AO08,LG64ARC91224,13.0,AO08,LG64ARC91224,AO
GWX5926658,8/1/2019 17:14,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
PGX6872041,8/1/2019 17:34,EG01,JD78PQD35395,1.0,EG01,JD78PQD35395,EG
EWR8013818,8/1/2019 17:52,NE08,ZY93PCY41868,1.25,NE08,ZY93PCY41868,KO
AJJ7574694,8/1/2019 18:02,OO02,HE38BQH01623,1.5,OO02,HE38BQH01623,MR
BAM0767909,8/1/2019 18:49,AO09,BM25PHF40639,13.0,AO09,BM25PHF40639,AO
ZTV2947809,8/1/2019 18:51,AO05,DP11ENT03275,3.1,AO05,DP11ENT03275,AO
MDB4040741,8/1/2019 19:31,OO00,PD45WOT56494,1.5,OO00,PD45WOT56494,NE
CSG3318300,8/1/2019 21:22,MR03,IZ65WAT29135,2.0,MR03,IZ65WAT29135,MR
NHM3675844,8/1/2019 21:30,NE05,QO68DIC93032,3.1,NE05,QO68DIC93032,MR
DPB6551839,8/1/2019 21:42,KO02,KB55KTM48860,2.5,KO02,KB55KTM48860,KO
YZI2644272,8/1/2019 22:06,KO06,WY00MLL63827,1.0,KO06,WY00MLL63827,KO
DZH0114567,8/1/2019 23:17,AO06,OC94ASJ72024,1.0,AO06,OC94ASJ72024,AO
WJX5646477,9/1/2019 0:43,EG02,EC02LZC49528,2.8,EG02,EC02LZC49528,EG
GTQ0716183,9/1/2019 0:52,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
DIM4006595,9/1/2019 1:58,OO02,IC95TLY24827,2.0,OO02,IC95TLY24827,OO
FMX7447301,9/1/2019 2:01,KO08,ED51EWW52190,2.8,KO08,ED51EWW52190,KO
CCT1120986,9/1/2019 2:12,KO09,ED51EWW52190,2.8,KO09,ED51EWW52190,KO
UBU3174102,9/1/2019 3:38,OO01,IC95TLY24827,2.0,OO01,IC95TLY24827,OO
PEJ6840364,9/1/2019 4:16,AO06,PE73VJU23485,2.8,AO06,PE73VJU23485,AO
POM1873220,9/1/2019 4:31,EG08,XE59BZM26378,2.5,EG08,XE59BZM26378,EG
UNO6659001,9/1/2019 5:10,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
JIK3844618,9/1/2019 6:34,EG02,EC02LZC49528,2.8,EG02,EC02LZC49528,EG
KLN6484024,9/1/2019 7:14,KO01,QO77TFN61853,2.2,KO01,QO77TFN61853,KO
ZHC1977550,9/1/2019 7:37,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF
FKV7904848,9/1/2019 7:52,EG05,JD78PQD35395,1.0,EG05,JD78PQD35395,EG
NFI8367808,9/1/2019 7:57,KO00,IX01MVL33676,2.5,KO00,IX01MVL33676,KO
LFH0315629,9/1/2019 8:05,GF00,WU78BMX13511,1.0,GF00,WU78BMX13511,GF
XKS4664614,9/1/2019 8:19,NE07,VX68BAR38623,1.5,NE07,VX68BAR38623,NE
UMF7695471,9/1/2019 8:36,EG04,CM15YCB60994,2.0,EG04,CM15YCB60994,EG
SJT4290133,9/1/2019 8:45,KO05,QW79CHL42244,2.8,KO05,QW79CHL42244,KO
ZQV5105168,9/1/2019 9:47,GF00,MA30QLI76818,2.5,GF00,MA30QLI76818,GF
WIU6615713,9/1/2019 9:48,NE11,XF28DGK65250,1.0,NE11,XF28DGK65250,GF
FBN9889844,9/1/2019 9:59,KO08,QO77TFN61853,2.2,KO08,QO77TFN61853,KO
FBN6685344,9/1/2019 10:39,GF00,CK97FAU13897,2.5,GF00,CK97FAU13897,GF
DBF9508600,9/1/2019 11:20,NE07,WY00MLL63827,2.0,NE07,WY00MLL63827,KO
YYN5607187,9/1/2019 13:44,MR02,UA13YTK28483,2.8,MR02,UA13YTK28483,MR
KJW8914761,9/1/2019 13:49,MR07,EZ65FLV39493,2.8,MR07,EZ65FLV39493,MR
HKH2373332,9/1/2019 15:03,OO06,AT19HLV57173,2.8,OO06,AT19HLV57173,OO
BYG4248451,9/1/2019 15:41,OO01,JF94VYA88954,2.8,OO01,JF94VYA88954,OO
FNP4393498,9/1/2019 20:59,MR06,EC02LZC49528,2.5,MR06,EC02LZC49528,EG
JKT6128724,9/1/2019 21:17,EG12,QU94IGC75528,1.25,EG12,QU94IGC75528,EG
